<<<<<<< HEAD
Rejestracja,VIN,Marka,Model,Generacja,Rok_produkcji,Data_ostatniego_przeglądu
NUP YGVO,1HGC5KB3YVPJ29YLK1,BMW,X6,3,2011,2001-04-21 00:00:01
CXM AA75,1HGHU31M3BKX7M8GL8,Skoda,Fabia,1,2012,2001-04-08 00:00:01
BBE AOMNP,1HGNHW1VEMQ4P6VKD4,BMW,X6,2,2012,2001-06-03 00:00:01
DG UQNV,1HGITX05O9VNWR1YA6,Audi,A5,1,2012,2001-01-09 00:00:01
TTF B34B,1HG1MI95Q5647T6FC5,Skoda,Fabia,1,2011,2001-01-04 00:00:01
MC QUED,1HGFN84MSSTQ9N4GG9,BMW,X6,2,2012,2001-05-04 00:00:01
YRA 1YC3,1HGLYF3OQDXJXR50J4,Audi,A5,2,2012,2001-01-20 00:00:01
PCE GVH47,1HGSZESSNRHPAFG685,Audi,A3,3,2010,2001-03-18 00:00:01
NP 0GOUJ,1HGRH1L9I2TT9BIT63,Audi,A3,2,2012,2001-05-05 00:00:01
QYD H2WS,1HGTWZ7RMDIKQL6JC1,Audi,A3,1,2010,2001-03-23 00:00:01
HP 5IJM,1HGQJC6H9W7FURB0S1,BMW,M4,3,2011,2001-01-25 00:00:01
MBU 4Z1OV,1HGI1IP8L0R48QEA82,Audi,A3,3,2012,2001-02-13 00:00:01
EQ FIIZ5,1HGH6ZNTKY3WHML5S3,Audi,A3,3,2011,2001-03-10 00:00:01
WM 0D60J,1HG5K9MRVIG2P0EVS3,Skoda,Octavia,3,2011,2001-03-13 00:00:01
IKA 7UETG,1HGDJBWWVM576DDPO5,Audi,A5,1,2011,2001-03-13 00:00:01
JGL XGRIW,1HG26CH05XP3UJ5RZ5,BMW,M3,3,2011,2001-05-25 00:00:01
IK EOXH,1HGNZV0SMOBSM98AT6,BMW,M3,1,2012,2001-04-01 00:00:01
YSM D16J,1HGB9EU96DN5DEQPD8,Audi,A4,2,2012,2001-03-24 00:00:01
TNX JX55,1HGB7DZYFHWBW4DVT5,Skoda,Fabia,1,2011,2001-06-04 00:00:01
JO UHA5A,1HGZQ68GJSLZO48KO7,Skoda,Fabia,2,2010,2001-03-20 00:00:01
RL 87VVR,1HGWIDWQQ8AO61MWP2,Skoda,Octavia,3,2012,2001-02-11 00:00:01
IMN ZPT9,1HG90XIK9YX0Q2YJI1,Skoda,Suberb,2,2010,2001-04-15 00:00:01
MZZ RTH6,1HGJ663NNK3U8S01F4,BMW,X6,3,2010,2001-03-14 00:00:01
RIK B2EB,1HGUSUFTPZDWX1B7D1,Skoda,Octavia,2,2011,2001-01-05 00:00:01
NA OIELP,1HGCH9AV0OJXFEZZR5,Audi,A3,3,2012,2001-03-21 00:00:01
NNN 666J,1HGR65P766DI8EVU66,Audi,A3,1,2012,2001-03-19 00:00:01
QG YJ0C,1HG589KFSRTNTX4KH5,Skoda,Octavia,1,2010,2001-04-23 00:00:01
MHL B1CUE,1HGWNGTTN072CF9N38,BMW,X5,3,2010,2001-04-17 00:00:01
DM OUQ71,1HGDYJ31V8NBVYZLO4,BMW,M3,1,2012,2001-01-29 00:00:01
IT LD8B,1HGJ4RXAOY1TIXE789,Audi,A5,2,2010,2001-03-20 00:00:01
NJ LH9VP,1HG77DF5FUV78VCBH1,Skoda,Fabia,1,2011,2001-01-29 00:00:01
DBX YRIJM,1HGE2JQJKD9GVZDLK7,BMW,M3,2,2010,2001-03-15 00:00:01
TJ WWGIT,1HGSV4UAG9J4D744F6,Skoda,Fabia,1,2011,2001-04-30 00:00:01
SQS UZAE,1HG1L17FBRQPI4HTZ3,BMW,X5,1,2010,2001-02-13 00:00:01
HO KC77,1HG9ZVVB3LMX9CXHN2,BMW,M3,2,2012,2001-02-14 00:00:01
VHB 173F3,1HG10DEAGUO3L8PHT9,Audi,A4,3,2011,2001-01-10 00:00:01
XH 0YIS,1HG0N2J1D8O0FGFFB8,Audi,A4,2,2010,2001-05-06 00:00:01
VL OR23,1HG8DFZ7N5ZLXYRQT3,BMW,M4,3,2010,2001-03-18 00:00:01
AQ I5HTA,1HGVEW0Y6JT60CFMW6,Audi,A4,2,2012,2001-04-15 00:00:01
FQV IPK6,1HGTFFPN8FK6DTXVR9,Skoda,Octavia,3,2010,2001-05-21 00:00:01
RCJ QZLS8,1HG0GJCQCNDQTTNVG0,BMW,M4,2,2012,2001-01-31 00:00:01
CX TXG5U,1HG2JJQUCCHXG7TJ25,BMW,X5,2,2011,2001-03-31 00:00:01
EF D6X0,1HGV95JQBCRO45U9S2,Audi,A5,2,2012,2001-05-16 00:00:01
SIY QC77,1HGD6IXVZ0NSVDBXK7,Skoda,Fabia,2,2011,2001-04-29 00:00:01
ZD 5SMR,1HGEJ0URU320IWR2H5,Skoda,Fabia,3,2012,2001-02-11 00:00:01
FU 6XIP,1HGGA4VQIR5PHS9M17,Audi,A3,1,2011,2001-01-08 00:00:01
DX PBEEN,1HGUV86GO7J6KKFQ71,Skoda,Fabia,2,2012,2001-04-08 00:00:01
QI WREWU,1HGGSIL0C5PI6NG5D4,Skoda,Octavia,1,2012,2001-03-12 00:00:01
HL 9VNZE,1HGD5R5KKP2DQGQTW6,Audi,A5,3,2012,2001-02-25 00:00:01
ZMN CLO0,1HGNPN38NLE0VE8UK4,Audi,A3,3,2010,2001-04-05 00:00:01
BLU RT5A6,1HGPRY1R33KUR82YC6,Audi,A4,1,2011,2001-04-28 00:00:01
AXF H8QXF,1HGN909LGRD5BNWY70,BMW,X5,1,2012,2001-03-02 00:00:01
WEC P1UM2,1HGKV4GW4RQ5QWSQQ0,BMW,M3,3,2010,2001-03-09 00:00:01
WN T0YDO,1HGVHD8QO8AZE4B2P3,BMW,M3,1,2011,2001-02-05 00:00:01
EP 9WPV,1HGYTCZT5WNKSZB3K2,BMW,X6,1,2012,2001-03-29 00:00:01
AR GGDL,1HGJK2EDVUPORJNMP8,Skoda,Fabia,3,2012,2001-02-26 00:00:01
KWD AA8M,1HGSIKWN79AO67BBT3,Audi,A3,1,2012,2001-01-29 00:00:01
NNB 5G73,1HG8D1H9VEVQBK0GM1,Skoda,Octavia,3,2012,2001-06-05 00:00:01
MZN QE45H,1HGHQZXZF5HOEXA2X5,Skoda,Octavia,1,2011,2001-04-08 00:00:01
RVV 16I6,1HGATYG0C0CNG7UG13,Skoda,Octavia,1,2011,2001-02-06 00:00:01
MO RS67D,1HGO0UQXDMALTH3C42,Skoda,Octavia,2,2010,2001-04-04 00:00:01
ZS 7AIO,1HG4CUFZI5PIWE6807,Audi,A4,3,2011,2001-04-10 00:00:01
ER DWZNS,1HG5FJA9E7A8PT52N0,BMW,M4,3,2011,2001-03-04 00:00:01
ARE 16CN,1HG51C4ZGOPFD34TF5,Audi,A4,1,2011,2001-04-10 00:00:01
HUC PDQ5I,1HG1DB3EU0H7OQ0N11,Skoda,Suberb,3,2010,2001-01-14 00:00:01
AYM 7F3P,1HGX0GQ8ZD29MYML08,Audi,A4,1,2010,2001-03-31 00:00:01
IVU PAQFB,1HG0JK324X6W8H3CQ9,Skoda,Octavia,2,2011,2001-03-26 00:00:01
NZ WJN1I,1HGQXAL4I95OMG96D3,Skoda,Fabia,1,2012,2001-03-03 00:00:01
YEJ SH6E6,1HGF3H6YGLMDN02GD1,Audi,A5,1,2011,2001-02-23 00:00:01
ME LJUY,1HGRLI1GPAPBKH4YS1,Audi,A5,2,2011,2001-01-18 00:00:01
XCH 01MBM,1HG2XV9IBCV53EB9Q3,BMW,X6,1,2012,2001-04-04 00:00:01
DP 2GFU,1HGQY37H0TQLAERI76,BMW,M4,1,2011,2001-01-14 00:00:01
PRA RD1IL,1HGEA11TGLL95OXJT3,Audi,A4,1,2012,2001-04-20 00:00:01
FY 0AUL,1HGTE4DGS16E6UTOC4,Skoda,Octavia,3,2012,2001-05-30 00:00:01
FL V8JNN,1HGSAR193UAOKJOH29,Skoda,Suberb,3,2010,2001-04-02 00:00:01
JH I5PV8,1HG965YUCL22HLJOD5,BMW,X5,3,2012,2001-02-24 00:00:01
KCF ZOID,1HG33U475AKODYTED5,BMW,X5,1,2011,2001-04-28 00:00:01
NMD OG6D2,1HG64L9GZ7L0SRFBI3,Audi,A5,1,2010,2001-03-30 00:00:01
FNM JGFSF,1HGKU017TMV8CDXQ37,Audi,A3,2,2012,2001-02-08 00:00:01
IU DGICC,1HGURM1J4THRRMHP22,Audi,A3,1,2010,2001-01-14 00:00:01
KX 1W3Y,1HGJG8534O8S4YARO9,Audi,A3,1,2010,2001-02-22 00:00:01
MO PAYP,1HG5G44A5LN5Y0REV5,BMW,M4,3,2010,2001-02-20 00:00:01
NN 15O78,1HG693LP601MZCMZL1,Skoda,Fabia,3,2012,2001-02-10 00:00:01
CX 8YP5,1HGIBLJDL65BY979D8,Skoda,Suberb,1,2010,2001-03-16 00:00:01
BB CI3ZC,1HGFUOXF6MAPCDYZG6,Audi,A5,3,2012,2001-04-07 00:00:01
XX OYDH1,1HGZ7N074XQVBR70D1,BMW,M3,1,2012,2001-01-20 00:00:01
VS 1TBI,1HG2FJAIG4TAZUKGL4,Audi,A5,2,2011,2001-01-07 00:00:01
HS PXPW,1HGCHP45BGII0MND53,BMW,X6,1,2011,2001-05-21 00:00:01
GZD X4NJX,1HGFQ2X8TIEJPX1FA8,Audi,A5,1,2010,2001-05-12 00:00:01
OLW GW8YJ,1HG3AWZFJGTXRWGN05,BMW,X6,2,2010,2001-02-24 00:00:01
XHB 453F,1HGXAXGK2DDMU6IPD3,Audi,A3,2,2011,2001-02-04 00:00:01
NW 540T,1HGMDZN2KI4JFHKN04,BMW,M3,3,2010,2001-02-17 00:00:01
KFC HCSD,1HG97DT9AKX5GMVUV8,Audi,A4,3,2010,2001-03-18 00:00:01
TT G1AU,1HGUZJG1S2NPEERDU3,Audi,A5,2,2011,2001-03-29 00:00:01
DP 9ZLQ,1HG9HCQS1X7ZO5FAA7,BMW,M3,3,2011,2001-02-24 00:00:01
MGQ BZ6D,1HGP0H6Z260VJVORV0,Audi,A4,2,2010,2001-03-12 00:00:01
FJK VIJCT,1HG8VILRJWE7EI2L07,Skoda,Fabia,3,2011,2001-03-21 00:00:01
VVZ 31RBV,1HGYTFO18BHNNY4N60,Audi,A4,1,2011,2001-04-26 00:00:01
GRS 1JUU,1HG0SH73U3SKOZ7HE2,Skoda,Octavia,1,2012,2001-01-15 00:00:01
XF W4O77,1HG4WEY7UWLTYV2UB3,BMW,M4,3,2012,2001-05-28 00:00:01
AAB PMNGG,1HGE8NOSMHROBZU6X9,Audi,A4,1,2011,2001-04-04 00:00:01
XU YFVW,1HGUEAXYBVBSMEMQ61,Audi,A5,2,2011,2001-01-15 00:00:01
FHZ F5V5,1HGQQU96R7HEAIICS3,BMW,M4,1,2011,2001-03-22 00:00:01
TRQ 26Q4U,1HGLEGQ1VJ4J6L4JS1,Skoda,Suberb,3,2010,2001-02-08 00:00:01
IQX 9GZEX,1HGYTHKAU0ANFZZI97,Skoda,Octavia,1,2011,2001-05-17 00:00:01
CGH C8NH,1HGOMKU3EWKMNNYIQ3,BMW,M4,1,2011,2001-01-02 00:00:01
RHF KOURG,1HGFCX7O7J9BUPKAO9,Audi,A5,2,2011,2001-03-31 00:00:01
AY D88B,1HGHO2KNUHT2J95KW9,BMW,M4,2,2010,2001-01-04 00:00:01
LZG CNLJ,1HGPLY1ZN4BKUF2C07,Skoda,Fabia,1,2012,2001-04-14 00:00:01
QT A66Q,1HGNRZ3YPKL1HAG3N7,Skoda,Suberb,2,2010,2001-04-23 00:00:01
ZH AWQB,1HG2I3MDNGETEIV674,Skoda,Suberb,3,2010,2001-01-10 00:00:01
DQ XU7M,1HG3TWS0I8L83UB4C6,Audi,A4,1,2011,2001-05-26 00:00:01
NZP STYFM,1HGC79RAVTM0F8YGC9,Skoda,Suberb,1,2012,2001-02-07 00:00:01
ZL N9PW,1HGL0V4MIQ2TPTT5I8,Skoda,Suberb,3,2011,2001-06-05 00:00:01
CD 3NPF,1HGNBZAU3L40E90Z61,Skoda,Fabia,2,2011,2001-06-04 00:00:01
OL 36I6,1HGZ5EXILTNN5GXPL2,Skoda,Fabia,2,2010,2001-02-08 00:00:01
YA FU33E,1HGY81Q996MQN920E2,Audi,A3,3,2011,2001-01-03 00:00:01
EE 9H3S,1HGNWASMN6JXEAHI75,Skoda,Suberb,3,2012,2001-04-09 00:00:01
MYW ZPJH,1HGFVIYQSZRIV5CVF7,Skoda,Fabia,1,2012,2001-04-26 00:00:01
BR D9KH3,1HGDVZKW866PNLQXZ4,BMW,X6,1,2012,2001-01-25 00:00:01
QVC N4H5R,1HGQZMN6MZ3X9X7U48,BMW,X6,3,2012,2001-03-14 00:00:01
HQ AO3O,1HGVBM8SALGFLKS5K0,BMW,M4,2,2011,2001-01-07 00:00:01
RPU P9AJ,1HGDSF3MQ5A6E5LV86,Skoda,Fabia,1,2011,2001-05-06 00:00:01
PTV 4WO0D,1HG2U8MP3O8A2C63P0,BMW,X6,1,2010,2001-04-04 00:00:01
YS 8NKS,1HGGWKLZHFSGY5QQV4,BMW,X6,1,2012,2001-03-02 00:00:01
OG KJLPQ,1HGKGR1B518I4IJK04,Audi,A4,3,2012,2001-02-17 00:00:01
UEW EBAB,1HGFYWV7JRIE2OMUC8,Audi,A3,1,2010,2001-03-30 00:00:01
GC XVLF4,1HGU4MTWYVAHPLNUY7,BMW,M3,2,2012,2001-02-20 00:00:01
IXU K1DC,1HGBPO94S2R4I5L1A2,BMW,X6,3,2010,2001-02-05 00:00:01
LX V8AY,1HG1O68V6LACKFDHV1,Skoda,Suberb,3,2011,2001-03-08 00:00:01
PCA US967,1HGMWZBQUX3J3T6JH9,Audi,A4,1,2010,2001-04-04 00:00:01
HXC XZI0,1HG57C5M1I2LYS81L8,Audi,A3,2,2012,2001-05-11 00:00:01
DRW QWAZ5,1HGKY80QHRZEZFI862,BMW,M3,2,2011,2001-03-19 00:00:01
OX CCTG,1HGUF4CM170QSS5H51,Audi,A3,1,2012,2001-02-13 00:00:01
KZY AKXI,1HGLTLMLABGLDZHAI3,BMW,M4,1,2010,2001-05-09 00:00:01
QFQ VQSX,1HGO5AAX9Q1O71ARY4,BMW,X5,3,2011,2001-01-26 00:00:01
XUK ZYKC7,1HGPAKQHE2I5UYSA99,BMW,X5,1,2012,2001-01-30 00:00:01
HX VX6E,1HGXEL9J8WEQNIEJO8,Audi,A3,1,2011,2001-02-25 00:00:01
PU 5BNN6,1HGO7G5E0APIMJRHU9,Skoda,Octavia,1,2011,2001-03-16 00:00:01
NU 6BZ2S,1HG8MSXIXUXYSTQL49,BMW,X5,1,2011,2001-01-26 00:00:01
HU Y0O3,1HGMZ2M4L3L8M4JWE2,BMW,X6,1,2010,2001-05-08 00:00:01
LR XN47,1HGJMKYZ4DU2XEX8L6,Skoda,Suberb,1,2010,2001-05-19 00:00:01
CIY X3L0,1HG1NMFPAUJ4AGU880,Audi,A4,1,2010,2001-06-01 00:00:01
ZJ L1S8O,1HGWBUN0HKS7ESC6I3,BMW,X6,2,2012,2001-03-22 00:00:01
VYQ XOOH,1HGZ8RCG72ZZUPVO93,Audi,A3,3,2012,2001-04-26 00:00:01
TP EAEI,1HG1ECQJYPFM1VHTS3,Audi,A3,1,2011,2001-06-01 00:00:01
VOI MFIWP,1HGU7DBQ6G6RS5TFA7,Audi,A4,1,2011,2001-01-23 00:00:01
TXU MW9F,1HGBREGNB9PPWKHM40,BMW,M4,3,2012,2001-03-29 00:00:01
XGS JKNZE,1HGQZ8SIGYDTZEDP24,Skoda,Octavia,1,2011,2001-01-13 00:00:01
ARZ CFUU2,1HG088X7OVUOI85OM9,BMW,M3,1,2011,2001-02-12 00:00:01
ZXU KSUY3,1HGVFZBCAS11PCAYC2,Skoda,Fabia,1,2010,2001-02-22 00:00:01
ONY ETB6Z,1HGXTJITI5N1D5CBK3,Audi,A5,1,2010,2001-05-23 00:00:01
TU R0OO,1HG08WCUY4SH5K5VS9,Skoda,Fabia,3,2010,2001-02-02 00:00:01
NEU 2UI7,1HG8PBM83WXA26LM47,Skoda,Octavia,1,2011,2001-06-05 00:00:01
GMD 6TDG,1HGSUJG9C14XYC7MZ2,Skoda,Octavia,1,2011,2001-01-12 00:00:01
FZ YK4A,1HGDOAOA0R4KUHZNK2,Skoda,Octavia,1,2010,2001-02-12 00:00:01
AR SWKN,1HGPAEELXNDLPWQH09,BMW,M3,1,2010,2001-05-14 00:00:01
RY RKO6W,1HGWUWEBLCHJGRBEG9,BMW,M4,2,2010,2001-05-14 00:00:01
MS H937,1HGDT8YP2TV6QCT355,Audi,A5,1,2012,2001-03-21 00:00:01
VNE 3A5Q,1HGYV4VX1LVY5W6GJ9,Skoda,Fabia,2,2010,2001-02-25 00:00:01
YGI SEVR9,1HGCUD6A60PLXVBGJ8,Audi,A4,3,2012,2001-04-23 00:00:01
XC JYU4H,1HG0K4PRKUSQ2Z97U4,BMW,M3,3,2012,2001-05-20 00:00:01
AMD PTK3B,1HGXJLDCG4D7IEX3V9,Skoda,Octavia,1,2011,2001-03-01 00:00:01
QYB BP81J,1HGW7BOHRVZL0D6WI1,BMW,M3,2,2011,2001-05-23 00:00:01
QPC 8VWW5,1HGESNZIL9HKQ66UY2,Skoda,Suberb,2,2011,2001-01-18 00:00:01
TD NC3XP,1HGSIYBIAAFMA9EB06,Skoda,Fabia,3,2010,2001-02-19 00:00:01
VW 5JDS,1HG0IGYIE00ITI5H63,BMW,M4,1,2012,2001-02-14 00:00:01
GRN C6E0,1HG39QED382O5W99W4,Audi,A4,3,2012,2001-01-20 00:00:01
MQW 8DO4I,1HGPJ4M72C2O7GRAJ9,Skoda,Suberb,3,2010,2001-03-01 00:00:01
ZSM J169N,1HG20XLY22VFU2J131,BMW,X5,3,2012,2001-04-30 00:00:01
VFK CXM1,1HGOJ5DYSQ17AJB8L2,BMW,M3,2,2010,2001-05-11 00:00:01
JJU SHWA5,1HG4GTI9Q9ISG4ZBE2,Skoda,Fabia,1,2011,2001-03-11 00:00:01
HC QSMIB,1HG47TL24K47B20857,Skoda,Octavia,2,2012,2001-03-06 00:00:01
LGX WDSUN,1HGYGSFKL3BCWKQGG0,BMW,M4,3,2012,2001-02-26 00:00:01
XCE NDT30,1HGU23PCYYAWA7JX48,Audi,A3,2,2012,2001-04-17 00:00:01
TG UQMS,1HGDIR0999ICY6DLX0,BMW,X5,2,2010,2001-05-02 00:00:01
XL CCL8,1HGBJ9KVYG70GAEKE9,BMW,X5,1,2010,2001-06-01 00:00:01
ZX TNM1F,1HG4BJ30GLCMB5RL87,BMW,M4,1,2012,2001-01-24 00:00:01
MS 0POZ,1HGMWMDXZ4RXMTV9N4,Skoda,Suberb,1,2010,2001-02-10 00:00:01
ART 1A69,1HGH4GLT1JXVQTDOB9,Skoda,Suberb,2,2010,2001-06-05 00:00:01
LH TGIN,1HG1HDATQB5RHL8JL6,Audi,A5,3,2010,2001-05-14 00:00:01
CS 6PJ4,1HGK316ZUE0XUZ4DB7,Skoda,Suberb,3,2010,2001-05-05 00:00:01
JNF C6TU1,1HG84CT3OUMY0YHPU5,BMW,X5,3,2011,2001-06-06 00:00:01
UA 048B,1HGOU0KJY0ELLVR2G0,BMW,M4,2,2012,2001-02-27 00:00:01
LDI X4NVL,1HGLT9JL44VB87M9K3,BMW,X5,2,2011,2001-04-03 00:00:01
ESA H6QNF,1HGG3TSMYQ55Z558R6,BMW,M3,3,2010,2001-02-08 00:00:01
PRD 2AQX,1HGOM9FWL5J85BFAQ6,Audi,A5,1,2012,2001-06-03 00:00:01
QC 5AAWO,1HGK5K8X3GMT8F8CW9,Audi,A3,3,2012,2001-03-17 00:00:01
DDT G2H8Y,1HGNWK65CTTPKF6S58,Skoda,Fabia,1,2010,2001-05-15 00:00:01
YO ULDH,1HG6I9TR88T3TNM9F9,Skoda,Suberb,1,2011,2001-05-20 00:00:01
CUR 0M10D,1HGU7RJ45FQLJMERL2,Audi,A5,2,2010,2001-02-12 00:00:01
YB SQTB,1HG06FGXZVU46LP9S1,Skoda,Fabia,3,2012,2001-03-17 00:00:01
YC M24KM,1HGZMFGTZFM3DM5WK1,Audi,A3,2,2012,2001-02-11 00:00:01
UTB C3YB2,1HGLF4M9IDK9TUAQ84,Skoda,Octavia,3,2010,2001-01-25 00:00:01
TU I4MYD,1HG9OKC4XTQ4FIZH92,BMW,M3,3,2010,2001-04-21 00:00:01
OH 75ZHX,1HGDL2V2G6TWN5Z5N6,Skoda,Suberb,2,2011,2001-02-06 00:00:01
YTL 2OZ5,1HG1PUX7JAIF4WNU03,Skoda,Suberb,1,2012,2001-01-12 00:00:01
SSK FYXF,1HGPXHTXR11QFWXQL3,Skoda,Octavia,2,2012,2001-05-30 00:00:01
WR G9TH7,1HG2PJ8GHVHBXIUPQ2,Skoda,Octavia,2,2011,2001-04-22 00:00:01
UX SA2R,1HGNHWFJ6TSAQKMI84,Audi,A3,2,2012,2001-04-03 00:00:01
ZWP F4K2N,1HGOME99FD0NGMRQ65,Audi,A5,1,2010,2001-05-20 00:00:01
SA DLMU4,1HGHIFJ3QMDMVMX784,Skoda,Octavia,1,2010,2001-05-13 00:00:01
=======
Rejestracja,VIN,Marka,Model,Generacja,Rok_produkcji,Data_ostatniego_przeglądu
GBX 3WJBM,1HGTQP1ZTLAUEN1PX9,BMW,M4,1,2011,2001-01-25 00:00:01
UHO PZ6V,1HGRMV7MOKMR7ZMNO2,BMW,X6,3,2011,2001-05-26 00:00:01
CPV 7G8W9,1HGSCGYBJB4H9MAE71,Skoda,Fabia,2,2011,2001-04-29 00:00:01
GQC 2C4VL,1HGUDID57SQ7I46V93,BMW,M4,2,2010,2001-05-01 00:00:01
QYD SUZU,1HGKYM3TBBFHUVJ111,BMW,M3,3,2011,2001-02-19 00:00:01
HDP 1YH0,1HGB4HHSU6QYJ00TC1,BMW,M4,3,2011,2001-03-22 00:00:01
TE UABH,1HGFZ1TDGSIZJZ9TC1,Audi,A5,1,2011,2001-03-05 00:00:01
VYV 7PDX,1HGE1WWEXJM0J4TFJ1,Skoda,Fabia,1,2011,2001-03-17 00:00:01
KV K4QMT,1HG0O91B5W7Z0K1NH3,Audi,A4,1,2011,2001-03-06 00:00:01
XY 1OFT,1HG7X7Q6XM0WHJQN52,Skoda,Suberb,2,2012,2001-01-15 00:00:01
FO VII5M,1HGOFA3S2LDMHLY038,BMW,X6,3,2010,2001-02-11 00:00:01
RB 006R,1HGTO893U5LAWGX2J4,BMW,X5,3,2011,2001-01-09 00:00:01
MCA 0750N,1HGSRF8EQ7L1IRK970,Skoda,Octavia,3,2012,2001-02-16 00:00:01
FE 9QVP0,1HGIAWWA6Z4E7K40V7,BMW,M4,2,2011,2001-01-27 00:00:01
HL 98TVJ,1HGV5OW1GCA1M515U9,BMW,M4,3,2011,2001-04-06 00:00:01
YT P4LC,1HGZNAFIOTIBQ7S1E8,BMW,M3,3,2011,2001-01-19 00:00:01
DJ 2Y46,1HGC8NZ43BM7PHVSD4,Audi,A3,3,2010,2001-02-20 00:00:01
SC F5RJR,1HGC3DYKVO52E93EB6,Audi,A4,2,2011,2001-04-19 00:00:01
RT DTQX,1HGYON8M98GKTGA565,Skoda,Octavia,2,2012,2001-04-18 00:00:01
JNK RD15,1HG7UD600V43I9Y5T0,BMW,X5,3,2011,2001-05-09 00:00:01
QT ZLJ6P,1HG6DT3OKLMC87S9D1,Skoda,Suberb,1,2012,2001-01-23 00:00:01
LJ 5NNI,1HGU61I9TXGU9WV7X0,BMW,M4,3,2012,2001-03-13 00:00:01
JO ZY0BA,1HGCXLM5KQXZU9SOV8,Audi,A4,2,2011,2001-06-02 00:00:01
EG CS4C,1HGNC1PRGX8WTARMR4,BMW,X6,1,2011,2001-02-24 00:00:01
ENX Y7E9,1HGMFO6W3E73ZOTED9,Audi,A4,3,2011,2001-01-10 00:00:01
OA S2FNR,1HG8NSXN6PJAL3DPJ6,Audi,A4,3,2011,2001-02-28 00:00:01
KCB 7AZWM,1HG1X7TWBQNUD7S3I7,BMW,M3,3,2012,2001-04-19 00:00:01
IA 09W9H,1HGC47G18BQ9Z1P2Z2,Skoda,Suberb,3,2010,2001-03-01 00:00:01
GEW M83YK,1HG0872OAQJC2L4AT1,Audi,A4,3,2012,2001-04-23 00:00:01
NCO WDLYO,1HG6ILR55WCT4ZTNG3,Audi,A4,2,2011,2001-01-08 00:00:01
HO 4YRQ,1HGPKR93NCJHU8EYQ9,BMW,X5,2,2012,2001-03-10 00:00:01
KFV A2U0I,1HGOUMAUM9RLQ6JZO5,BMW,X6,2,2012,2001-05-18 00:00:01
XT D4U5F,1HGFBK6F5L9Z5E65P7,Skoda,Octavia,1,2012,2001-03-19 00:00:01
VD ZOW56,1HGF8631PJ1Z363BT7,Skoda,Fabia,3,2012,2001-04-12 00:00:01
AE 5TGL,1HGE57CKBHEQFULAP4,BMW,M3,3,2012,2001-01-19 00:00:01
TL Z4XJD,1HGUYSQBOJASBQV0X4,Skoda,Suberb,2,2012,2001-02-21 00:00:01
SNC BN0C7,1HGGMPAYHE6AQO4N66,Audi,A4,3,2011,2001-04-22 00:00:01
BFM 8TKND,1HGGCKX8O9D90A9HE6,BMW,M4,2,2012,2001-01-14 00:00:01
RM TSFN,1HGBET89PLW723YZS6,Audi,A5,3,2011,2001-05-30 00:00:01
YRJ DR6HZ,1HGHUTDZY4QQ06S0E9,Audi,A4,3,2011,2001-05-07 00:00:01
WS 7Q7G5,1HGM8S07KB0FIP1LU7,Audi,A4,1,2011,2001-05-11 00:00:01
UCS PAS8,1HG0IP9H0JTZ0MAAB2,Audi,A5,3,2011,2001-04-30 00:00:01
KQ ST4B,1HG1ZG7A9ZV84AFFZ1,Skoda,Suberb,3,2012,2001-03-23 00:00:01
FW 0WG1Q,1HG2WWNUJQIAELQSN5,Audi,A5,2,2011,2001-05-22 00:00:01
YDN 5ZQ2Q,1HGFN2BUW90L8ZYHA2,Audi,A5,1,2010,2001-01-04 00:00:01
YQ WTTX,1HGZDRDK10LMD3ZD16,Skoda,Octavia,1,2011,2001-03-13 00:00:01
VHX TGUKF,1HGDKXWO9MJ3350BQ5,Audi,A4,1,2010,2001-05-25 00:00:01
FX J23IP,1HGYHW98TR6AXH9TJ6,Audi,A5,1,2012,2001-03-05 00:00:01
RN UMX1Q,1HGWEYJJD27GGUH152,Skoda,Suberb,2,2012,2001-05-23 00:00:01
KA HGONB,1HGH51V60YV54TWN45,BMW,M4,1,2012,2001-03-03 00:00:01
BJX 3187Z,1HGIHR9QXQZFY2Z6W9,Audi,A4,3,2012,2001-03-15 00:00:01
CFK 6BX3,1HG16EBVEY315CCJH6,Skoda,Fabia,2,2012,2001-04-29 00:00:01
DNY GPN4R,1HGMEWLV3YCZA3RDL9,Skoda,Suberb,1,2012,2001-01-19 00:00:01
WG 2KGR,1HG1XK38LHYMKU4619,BMW,M4,1,2011,2001-05-13 00:00:01
GN K0HL5,1HGJUGGR35SJTBZXF8,BMW,X6,3,2010,2001-03-29 00:00:01
JYF GN5NO,1HGJ37U0P7TR8PSMZ4,Skoda,Suberb,3,2011,2001-02-28 00:00:01
VAY T587,1HGN3C9KA3GY906653,BMW,M3,3,2010,2001-01-04 00:00:01
PFL E0T39,1HG8OH98Y45C7GHJD8,BMW,M4,3,2012,2001-05-27 00:00:01
KEM H2L8F,1HGXAMRJOXG49Z71M6,Audi,A3,1,2010,2001-06-01 00:00:01
NBB 2EY4A,1HGZQPC3KHI704NO21,BMW,X5,2,2010,2001-04-14 00:00:01
FY K3D6Q,1HGF8OV4N57JUSRU45,Skoda,Suberb,2,2012,2001-01-10 00:00:01
RG N2LA4,1HGG042GVM61E4W5O1,BMW,M4,1,2011,2001-05-31 00:00:01
